Pipe NPS,Actual Outside Diameter (in),Pipe Schedule,Wall Thickness (in),Weight (lb/ft),Weight (kg/m)
6,6.625,--,0.5,32.79,48.797
,,,,,
6,6.625,120,0.562,36.4,54.169
,,,,,
6,6.625,160,0.719,45.3,67.414
,,,,,
6,6.625,XX-Stg.,0.864,53.16,79.111
,,,,,
 , , , , ,
,,,,,
8,8.625,12 Ga.,0.104,9.47,14.093
,,,,,
8,8.625,10 Ga.,0.134,12.16,18.096
,,,,,
8,8.625,10S,0.148,13.4,19.941
,,,,,
8,8.625,8 Ga.,0.164,14.83,22.069
,,,,,
8,8.625,API,0.188,16.9,25.15
,,,,,
8,8.625,6 Ga.,0.194,17.48,26.013
,,,,,
8,8.625,API,0.203,18.3,27.233
,,,,,
8,8.625,API,0.219,19.64,29.228
,,,,,
8,8.625,3 Ga.,0.239,21.42,31.876
,,,,,
8,8.625,20,0.25,22.4,33.335
,,,,,
8,8.625,30,0.277,24.7,36.758
,,,,,
8,8.625,API,0.312,27.72,41.252
,,,,,
8,8.625,Std.,0.322,28.55,42.487
,,,,,
8,8.625,API,0.344,30.4,45.24
,,,,,
8,8.625,API,0.375,33.1,49.258
,,,,,
8,8.625,60,0.406,35.7,53.127
,,,,,
8,8.625,API,0.438,38.33,57.041
,,,,,
8,8.625,X-Stg.,0.5,43.39,64.571
,,,,,
8,8.625,100,0.594,50.9,75.748
,,,,,
8,8.625,--,0.625,53.4,79.468
,,,,,
8,8.625,120,0.719,60.7,90.332
,,,,,
8,8.625,140,0.812,67.8,100.898
,,,,,
8,8.625,XX-Stg.,0.875,72.42,107.773
,,,,,
8,8.625,160,0.906,74.7,111.166
,,,,,
 , , , , ,
,,,,,
10,10.75,12 Ga.,0.104,11.83,17.605
,,,,,
10,10.75,10 Ga.,0.134,15.21,22.635
,,,,,
10,10.75,8 Ga.,0.164,18.56,27.62
,,,,,
10,10.75,10S,0.165,18.65,27.754
,,,,,
10,10.75,API,0.188,21.12,31.43
,,,,,
10,10.75,6 Ga.,0.194,21.89,32.576
,,,,,
10,10.75,API,0.203,22.86,34.019
,,,,,
10,10.75,API,0.219,24.6,36.609
,,,,,
10,10.75,3 Ga.,0.239,28.05,41.743
,,,,,
10,10.75,20,0.25,28.03,41.713
,,,,,
10,10.75,API,0.279,31.2,46.431
,,,,,
10,10.75,30,0.307,34.24,50.955
,,,,,
10,10.75,API,0.344,38.26,56.937
,,,,,
10,10.75,Std.,0.365,40.48,60.241
,,,,,
10,10.75,API,0.438,48.28,71.849
,,,,,
10,10.75,X-Stg.,0.5,54.74,81.462
,,,,,
10,10.75,80,0.594,64.4,95.838
,,,,,
10,10.75,100,0.719,77,114.589
,,,,,
10,10.75,--,0.75,80.1,119.202
,,,,,
10,10.75,120,0.844,89.2,132.744
,,,,,
10,10.75,140,1,104.2,155.067
,,,,,
10,10.75,160,1.125,116,172.627
,,,,,
 , , , , , 
,,,,,
12,12.75,12 Ga.,0.104,14.1,20.983
,,,,,
12,12.75,10 Ga.,0.134,18.1,26.936
,,,,,
12,12.75,8 Ga.,0.164,22.1,32.888
,,,,,
12,12.75,10S,0.18,24.2,36.014
,,,,,
12,12.75,6 Ga.,0.194,26,38.692
,,,,,
12,12.75,API,0.203,27.2,40.478
,,,,,
12,12.75,API,0.219,29.3,43.603
,,,,,
12,12.75,3 Ga.,0.239,32,47.621
,,,,,
12,12.75,20,0.25,33.4,49.705
,,,,,
12,12.75,API,0.281,37.4,55.657
,,,,,
12,12.75,API,0.312,41.5,61.759
,,,,,
12,12.75,30,0.33,43.8,65.182
,,,,,
12,12.75,API,0.344,45.5,67.711
,,,,,
12,12.75,Std.,0.375,49.6,73.813
,,,,,
12,12.75,40,0.406,53.6,79.766
,,,,,
12,12.75,API,0.438,57.5,85.569
,,,,,
12,12.75,X-Stg.,0.5,65.4,97.326
,,,,,
12,12.75,60,0.562,73.2,108.934
,,,,,
12,12.75,--,0.625,80.9,120.392
,,,,,
12,12.75,80,0.688,88.6,131.851
,,,,,
12,12.75,--,0.75,96.2,143.161
,,,,,
12,12.75,100,0.844,108,160.722
,,,,,
12,12.75,--,0.875,110.9,165.037
,,,,,
12,12.75,120,1,125.5,186.765
,,,,,
12,12.75,140,1.125,140,208.343
,,,,,
12,12.75,--,1.25,153.6,228.582
,,,,,
12,12.75,160,1.312,161,239.594
,,,,,
12,12.75,--,1.375,167.2,248.821
,,,,,
12,12.75,--,1.5,180.4,268.465
,,,,,
 , , , , , 
,,,,,
14,14,10 Ga.,0.134,20,29.763
,,,,,
14,14,8 Ga.,0.164,24,35.716
,,,,,
14,14,6 Ga.,0.194,29,43.157
,,,,,
14,14,API,0.21,31,46.133
,,,,,
14,14,API,0.219,32,47.621
,,,,,
14,14,3 Ga.,0.239,35,52.086
,,,,,
14,14,10,0.25,37,55.062
,,,,,
14,14,API,0.281,41,61.015
,,,,,
14,14,20,0.312,46,68.456
,,,,,
14,14,API,0.344,50,74.408
,,,,,
14,14,Std.,0.375,55,81.849
,,,,,
14,14,40,0.438,63,93.754
,,,,,
14,14,X-Stg.,0.5,72,107.148
,,,,,
14,14,60,0.594,85,126.494
,,,,,
14,14,--,0.625,89,132.447
,,,,,
14,14,80,0.75,107,159.234
,,,,,
14,14,--,0.875,123,183.044
,,,,,
14,14,100,0.938,131,194.949
,,,,,
14,14,--,1,139,206.855
,,,,,
